time_s,range_m,altitude_m,V_mps,mach,mass_kg,gamma_deg,thrust_N,drag_N,q_Pa,alpha_deg,phase
0,0,10000,254.602,0.85,551.271,0,0,1432.32,13402.2,15,separation
0.78,197.809,9999.16,252.624,0.843388,551.271,-0.490338,0,1409.05,13196.2,15,separation
1.56,394.16,9996.63,253.694,0.846927,550.654,-0.823271,47408.4,1302.34,13312.4,15,boost
2.34,616.608,10000.3,316.82,1.05772,537.027,2.59468,47408.9,2232.49,20752.2,15,boost
3.12,887.304,10021,379.29,1.26666,523.399,6.07934,47411.6,3491.28,29666.6,15,boost
3.9,1204.27,10065.2,441.404,1.47505,509.772,9.73803,47417.3,4461.7,39960,15,boost
4.68,1564.95,10140,503.151,1.68322,496.144,13.636,47426.9,5539.48,51443.2,15,boost
5.46,1965.62,10252.9,564.398,1.89122,482.517,17.8057,47441.3,6606.18,63827.7,15,boost
6.24,2408.15,10401.9,634.486,2.13072,468.89,18.6234,47459.9,2184.45,79179.9,0.00927317,boost
7.02,2905.49,10565.4,708.183,2.38394,455.262,17.6442,47479.9,2637.32,96641.8,-3.31471,boost
7.8,3462.11,10733.8,783.055,2.64255,441.635,15.8902,47500.1,3762.53,115679,-6.70905,boost
8.58,4081.46,10894.3,857.849,2.90187,428.007,13.1629,47519,4602.98,136042,-7.6818,boost
9.36,4757.07,11035.7,891.212,3.02035,421.001,10.6153,1598.73,4671.33,144144,-7.51417,sustain
10.14,5439.78,11153.4,885.568,3.00122,420.478,9.05779,1603.4,3498.77,139717,-4.65093,sustain
10.92,6121.26,11254.9,881.266,2.98664,419.954,7.93449,1607.36,3173.98,136172,-3.40842,sustain
11.7,6801.36,11343.9,877.525,2.97396,419.431,6.99752,1610.78,3010.51,133144,-2.63299,sustain
12.48,7479.99,11422.2,874.153,2.96253,418.908,6.18082,1613.74,2900.06,130507,-1.9869,sustain
13.26,8157.1,11491.2,871.062,2.95206,418.384,5.46069,1616.33,2819.19,128189,-1.38094,sustain
14.04,8832.67,11551.9,868.193,2.94233,417.861,4.82402,1618.58,2760.02,126137,-0.791736,sustain
14.82,9506.68,11605.4,865.499,2.9332,417.338,4.26096,1620.54,2718.17,124307,-0.21208,sustain
15.6,10179.1,11652.5,862.941,2.92454,416.814,3.76311,1622.26,2690.32,122662,0.340822,sustain
16.38,10850,11694,860.488,2.91622,416.291,3.32308,1623.76,2672.67,121173,0.804772,sustain
17.16,11519.2,11730.5,858.117,2.90818,415.768,2.93426,1625.08,2661.88,119817,1.19514,sustain
17.94,12186.9,11762.7,855.809,2.90036,415.244,2.59078,1626.23,2655.63,118572,1.52739,sustain
18.72,12852.9,11791,853.552,2.89271,414.721,2.2874,1627.24,2652.34,117424,1.81253,sustain
19.5,13517.3,11816,851.336,2.88521,414.198,2.01946,1628.12,2650.88,116358,2.05877,sustain
20.28,14180.2,11837.9,849.155,2.87781,413.674,1.78286,1628.9,2650.49,115363,2.27245,sustain
21.06,14841.4,11857.3,847.001,2.87051,413.151,1.57393,1629.58,2650.61,114431,2.45861,sustain
21.84,15501,11874.3,844.872,2.8633,412.628,1.38947,1630.18,2650.87,113552,2.62135,sustain
22.62,16159,11889.3,842.764,2.85615,412.104,1.2266,1630.7,2651.02,112720,2.764,sustain
23.4,16815.4,11902.5,840.675,2.84907,411.581,1.0828,1631.17,2650.9,111929,2.88936,sustain
24.18,17470.2,11914.2,838.602,2.84205,411.058,0.955854,1631.57,2650.41,111174,2.99978,sustain
24.96,18123.4,11924.4,836.544,2.83507,410.534,0.843778,1631.93,2649.48,110451,3.09723,sustain
25.74,18775.1,11933.4,834.5,2.82815,410.011,0.744836,1632.24,2648.11,109756,3.18342,sustain
26.52,19425.2,11941.4,832.47,2.82127,409.488,0.657488,1632.52,2646.27,109087,3.2598,sustain
27.3,20073.7,11948.4,830.453,2.81443,408.964,0.580379,1632.76,2643.98,108439,3.3276,sustain
28.08,20720.6,11954.5,828.447,2.80763,408.441,0.512308,1632.98,2641.27,107812,3.38791,sustain
28.86,21366,11960,826.454,2.80088,407.918,0.452216,1633.16,2638.16,107202,3.44165,sustain
29.64,22009.8,11964.8,824.472,2.79416,407.394,0.39917,1633.33,2634.68,106609,3.48965,sustain
30.42,22652.1,11969,822.501,2.78748,406.871,0.352343,1633.47,2630.86,106030,3.53259,sustain
31.2,23292.9,11972.7,820.542,2.78084,406.347,0.311007,1633.6,2626.73,105464,3.5711,sustain
31.98,23932.2,11975.9,818.593,2.77424,405.824,0.274517,1633.71,2622.33,104909,3.60572,sustain
32.76,24569.9,11978.8,816.655,2.76767,405.301,0.242307,1633.81,2617.69,104366,3.6369,sustain
33.54,25206.1,11981.3,814.729,2.76114,404.777,0.213874,1633.9,2612.82,103833,3.66507,sustain
34.32,25840.9,11983.6,812.813,2.75465,404.254,0.188776,1633.98,2607.76,103309,3.69057,sustain
35.1,26474.1,11985.5,810.907,2.74819,403.731,0.166621,1634.05,2602.53,102794,3.71373,sustain
35.88,27105.9,11987.2,809.013,2.74177,403.207,0.147065,1634.11,2597.16,102286,3.73482,sustain
36.66,27736.2,11988.8,807.129,2.73539,402.684,0.129804,1634.16,2591.65,101786,3.75409,sustain
37.44,28365,11990.1,805.255,2.72904,402.161,0.114567,1634.2,2586.04,101293,3.77175,sustain
38.22,28992.4,11991.3,803.392,2.72272,401.637,0.101117,1634.24,2580.33,100806,3.78798,sustain
39,29618.3,11992.3,801.54,2.71644,401.114,0.089246,1634.28,2574.55,100325,3.80295,sustain
39.78,30242.8,11993.2,799.697,2.7102,400.591,0.0787675,1634.31,2568.7,99850.2,3.81681,sustain
