D,m_p_sustain,f_nose,L_total,m_p_boost,m_p_terminal,F_boost,b_fin,c_r_fin,fineness,S_ref,m0_kg,range_km,mach_terminal,q_max_kPa,burnout_kg,x_cg_m,converged,feasible,geometry_measured,n_violations,violations,iterations,wall_time_s,message,margin_R3,margin_R6,margin_R7,margin_R8,margin_R9,margin_R10,margin_R11,margin_q_max,margin_grain
0.32,150.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.34,11.25,0.0804247719318987,520.5859579810458,199.85762790521377,1.8025774329085755,230.4636903241972,200.58595798104582,1.9032447360384892,1,0,1,2,q_max|grain L/D upper,2,39.379,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.08031,0.20172,0.28889,0.14286,0.52674,0.54144,0.13333,-0.15232,-0.11265
0.32,150.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.34,11.25,0.0804247719318987,521.3882482770902,209.54828434734296,1.8654710748717114,246.8264467949835,201.38824827709024,1.9022221503613506,1,0,1,2,q_max|grain L/D upper,2,33.918,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.13269,0.24365,0.28889,0.14286,0.52601,0.61384,0.13333,-0.23413,-0.11265
0.32,150.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.34,11.25,0.0804247719318987,522.3409803051142,217.35467240229391,1.9264580385304277,263.22901582788285,202.3409803051141,1.90131800395769,1,0,1,2,q_max|grain L/D upper,2,36.939,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.17489,0.28431,0.28889,0.14286,0.52514,0.69237,0.13333,-0.31615,-0.11265
0.32,172.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.34,11.25,0.0804247719318987,545.1534305085183,217.6159691992012,1.7981021915027209,229.32077093406514,203.1534305085184,1.9186094388035762,1,0,1,2,q_max|grain L/D upper,2,51.596,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.1763,0.19873,0.28889,0.14286,0.50441,0.52342,0.13333,-0.1466,-0.17922
0.32,172.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.34,11.25,0.0804247719318987,545.9557208045628,227.8454088839196,1.851704201980231,243.19681145306828,203.9557208045628,1.9176102898139054,1,0,1,2,q_max|grain L/D upper,2,42.461,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.2316,0.23447,0.28889,0.14286,0.50368,0.58383,0.13333,-0.21598,-0.17922
0.32,172.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.34,11.25,0.0804247719318987,546.9084528325867,235.95391668437492,1.8942624329156428,254.504195010695,204.90845283258665,1.9167199516053564,1,0,1,2,q_max|grain L/D upper,2,35.697,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.27543,0.26284,0.28889,0.14286,0.50281,0.64424,0.13333,-0.27252,-0.17922
0.32,200.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.34,11.25,0.0804247719318987,576.4211228162108,238.6670183014374,1.782966239193809,225.47629609320492,206.4211228162107,1.9362703080850947,1,0,1,2,q_max|grain L/D upper,2,56.738,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.29009,0.18864,0.28889,0.14286,0.47598,0.46823,0.13333,-0.12738,-0.26396
0.32,200.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.34,11.25,0.0804247719318987,577.223413112255,249.58031390634744,1.8366243557928417,239.2518645204292,207.22341311225512,1.9353007350598541,1,0,1,2,q_max|grain L/D upper,2,35.114,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.34908,0.22442,0.28889,0.14286,0.47525,0.52855,0.13333,-0.19626,-0.26396
0.32,200.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.34,11.25,0.0804247719318987,578.176145140279,258.03457476726265,1.8705448657349677,248.17093171378104,208.17614514027898,1.9344293955033096,1,0,1,2,q_max|grain L/D upper,2,51.032,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.39478,0.24703,0.28889,0.14286,0.47439,0.58889,0.13333,-0.24085,-0.26396
0.32,235.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.34,11.25,0.0804247719318987,615.5057382008262,262.93668081002994,1.7699094179526098,222.18602168805916,210.50573820082607,1.9558230979232638,1,0,1,2,q_max|grain L/D upper,2,44.008,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.42128,0.17994,0.28889,0.14286,0.44045,0.40713,0.13333,-0.11093,-0.36987
