D,m_p_sustain,f_nose,L_total,m_p_boost,m_p_terminal,F_boost,b_fin,c_r_fin,fineness,S_ref,m0_kg,range_km,mach_terminal,q_max_kPa,burnout_kg,x_cg_m,converged,feasible,geometry_measured,n_violations,violations,iterations,wall_time_s,message,margin_R3,margin_R6,margin_R7,margin_R8,margin_R9,margin_R10,margin_R11,margin_q_max,margin_grain
0.32,150.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,516.1276283838137,196.2593525044529,1.784275731692493,225.80761806439315,196.12762838381366,1.9199492695069997,1,0,0,2,q_max|grain L/D upper,2,2.815,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.06086,0.18952,0.28889,0.14286,0.53079,0.47491,0.13333,-0.12904,-0.11265
0.32,150.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,516.403925516909,206.91117663722295,1.8571766708659576,244.6364081373784,196.403925516909,1.919442682046116,1,0,0,2,q_max|grain L/D upper,2,3.119,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.11844,0.23812,0.28889,0.14286,0.53054,0.53204,0.13333,-0.22318,-0.11265
0.32,150.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,516.6849612998788,215.64428589174432,1.906908550837375,257.9136839431844,196.68496129987875,1.9189539484706948,1,0,0,2,q_max|grain L/D upper,2,3.263,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.16564,0.27127,0.28889,0.14286,0.53029,0.5886,0.13333,-0.28957,-0.11265
0.32,172.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,540.6951009112862,213.8273866147946,1.783726309707147,225.66857613661907,198.69510091128623,1.9346816616456255,1,0,0,2,q_max|grain L/D upper,2,2.926,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.15582,0.18915,0.28889,0.14286,0.50846,0.42887,0.13333,-0.12834,-0.17922
0.32,172.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,540.9713980443815,225.18192024673593,1.839031743392857,239.87948274055898,198.97139804438157,1.9341905556978989,1,0,0,2,q_max|grain L/D upper,2,3.099,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.2172,0.22602,0.28889,0.14286,0.50821,0.48596,0.13333,-0.1994,-0.17922
0.32,172.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,541.2524338273513,234.45648530511056,1.889609698773676,253.25549147367428,199.2524338273513,1.9337163481882782,1,0,0,2,q_max|grain L/D upper,2,3.873,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.26733,0.25974,0.28889,0.14286,0.50795,0.54247,0.13333,-0.26628,-0.17922
0.32,200.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,571.9627932189786,235.165883392187,1.7672006769254724,221.50645713747113,201.96279321897853,1.951601567795766,1,0,0,2,q_max|grain L/D upper,2,3.857,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.27117,0.17813,0.28889,0.14286,0.48003,0.376,0.13333,-0.10753,-0.26396
0.32,200.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,572.2390903520738,247.17972134585014,1.8240010816075138,235.97437009900148,202.23909035207387,1.9511291268226671,1,0,0,2,q_max|grain L/D upper,2,3.005,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.33611,0.216,0.28889,0.14286,0.47978,0.43302,0.13333,-0.17987,-0.26396
0.32,200.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,572.5201261350437,256.9558735630769,1.8718677175297302,248.52206945250347,202.52012613504363,1.9506725030266014,1,0,0,2,q_max|grain L/D upper,2,3.134,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.38895,0.24791,0.28889,0.14286,0.47953,0.48948,0.13333,-0.24261,-0.26396
0.32,235.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,611.0474086035939,259.7355866433647,1.7623157526710438,220.28356629110982,206.0474086035939,1.9703163807432724,1,0,0,2,q_max|grain L/D upper,2,3.449,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.40398,0.17488,0.28889,0.14286,0.4445,0.31751,0.13333,-0.10142,-0.36987
0.32,235.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,611.3237057366894,272.2531641989313,1.816636942678322,234.07279217759591,206.32370573668925,1.969865686554139,1,0,0,2,q_max|grain L/D upper,2,3.356,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.47164,0.21109,0.28889,0.14286,0.44425,0.37447,0.13333,-0.17036,-0.36987
0.32,235.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,611.604741519659,282.19689674527245,1.8570573920527726,244.60498516741708,206.604741519659,1.96942963375901,1,0,0,2,q_max|grain L/D upper,2,3.484,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.52539,0.23804,0.28889,0.14286,0.444,0.43087,0.13333,-0.22302,-0.36987
0.32,275.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,655.7155404717257,284.5286735275749,1.7529762031033964,217.95492827017796,210.71554047172577,1.9889728621460394,1,0,0,2,q_max|grain L/D upper,2,4.9,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.53799,0.16865,0.28889,0.14286,0.40389,0.25921,0.13333,-0.08977,-0.49092
0.32,275.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,655.9918376048212,296.905317068422,1.7981541372698107,229.3340209211445,210.9918376048211,1.988544998934806,1,0,0,2,q_max|grain L/D upper,2,4.003,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.60489,0.19877,0.28889,0.14286,0.40364,0.3161,0.13333,-0.14667,-0.49092
0.32,275.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,11.25,0.0804247719318987,656.2728733877908,306.42278015583344,1.8365981513336753,239.24503740745394,211.2728733877908,1.9881306263113725,1,0,0,2,q_max|grain L/D upper,2,3.93,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.65634,0.2244,0.28889,0.14286,0.40339,0.37243,0.13333,-0.19623,-0.49092
0.35,150.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,520.1524388022992,166.8294102006888,1.622371759004072,186.68757229937162,200.15243880229923,1.9176907492574558,1,0,0,2,R3 range|R10 static margin,2,2.172,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.09822,0.08158,0.22222,0.14286,0.52713,-0.00234,0.1,0.06656,0.12471
0.35,150.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,520.4829700406212,175.87662088787712,1.6719448209588832,198.27069692490343,200.4829700406213,1.9171120399781347,1,0,0,1,R3 range,2,2.228,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.04932,0.11463,0.22222,0.14286,0.52683,0.07108,0.1,0.00865,0.12471
0.35,150.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,520.8191700739591,183.1075277311595,1.705364923412998,206.2762865221647,200.81917007395907,1.9165585215392533,1,0,0,2,R3 range|q_max,2,2.548,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.01023,0.13691,0.22222,0.14286,0.52653,0.15251,0.1,-0.03138,0.12471
0.35,172.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,544.7199113297718,181.85754788452942,1.6221036615416806,186.62587703292044,202.71991132977178,1.9324161489012124,1,0,0,1,R3 range,2,2.223,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.01699,0.0814,0.22222,0.14286,0.5048,0.03451,0.1,0.06687,0.07434
0.35,172.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,545.0504425680939,191.3863480389046,1.6647989829975582,196.57951363416413,203.0504425680938,1.9318545944006265,1,1,0,0,,2,2.465,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.03452,0.10987,0.22222,0.14286,0.5045,0.10708,0.1,0.0171,0.07434
0.35,172.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,545.3866426014316,199.2639445650818,1.6998135750143477,204.935520427236,203.3866426014316,1.931316921787582,1,0,0,1,q_max,2,2.604,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.0771,0.13321,0.22222,0.14286,0.50419,0.18251,0.1,-0.02468,0.07434
0.35,200.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,575.9876036374641,200.10740596019662,1.611876753531531,184.28004783537799,205.98760363746405,1.9493408085232007,1,1,0,0,,2,2.312,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.08166,0.07458,0.22222,0.14286,0.47637,0.04861,0.1,0.0786,0.01022
0.35,200.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,576.3181348757861,210.24933488516555,1.657676964296749,194.9011749385949,206.31813487578611,1.9488000140575876,1,1,0,0,,2,2.597,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.13648,0.10512,0.22222,0.14286,0.47607,0.1092,0.1,0.02549,0.01022
0.35,200.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,576.6543349091239,218.57865809526461,1.6900639317873003,202.5913597237319,206.6543349091239,1.9482816159570204,1,0,0,1,q_max,2,2.937,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.18151,0.12671,0.22222,0.14286,0.47577,0.16919,0.1,-0.01296,0.01022
